id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
251,Jalen Johnson,ATL,SF,23,36,18.9,10,5,1.6,1,2.4,35.7,17.3,36,0.5,0.746,2.9
252,James Johnson,IND,PF,37,12,0.7,0.5,0.3,0,0.2,-0.1,3.1,0,0,0.364,0,0.3
253,Keldon Johnson,SAS,SF,25,77,12.7,4.8,1.6,0.6,0.3,3.2,23.9,15.6,0,0.482,0.773,1
254,Keon Johnson,BRK,SG,22,79,10.6,3.8,2.2,1,0.4,0.5,24.4,10.4,56,0.389,0.77,1.5
255,Keshad Johnson,MIA,SF,23,16,2.7,1.8,0.3,0.3,0.3,0.4,6.1,19.1,0,0.692,0.444,0.3
256,Nikola Jokić,DEN,C,29,70,29.6,12.7,10.2,1.8,0.6,16.4,36.7,32,70,0.576,0.8,3.3
257,Colby Jones,2TM,SG,22,39,4,2.2,1.1,0.7,0.3,0.6,13.2,11.4,0,0.457,0.657,0.6
258,Derrick Jones Jr.,LAC,SF,27,77,10.1,3.4,0.8,1,0.4,4.7,24.3,13.5,55,0.526,0.703,0.9
259,Dillon Jones,OKC,SF,23,54,2.5,2.2,1.1,0.3,0.1,0.8,10.2,8.1,3,0.383,0.607,0.5
260,Herbert Jones,NOP,SF,26,20,10.3,3.9,3.3,1.9,0.5,0.4,32.4,10.4,20,0.436,0.825,1.8
261,Isaac Jones,SAC,PF,24,40,3.4,1.4,0.3,0.1,0.3,0.7,7.6,15.2,0,0.651,0.639,0.4
262,Kai Jones,2TM,C,24,40,5,3.1,0.6,0.4,0.6,2.1,11.7,20.2,6,0.798,0.719,0.5
263,Mason Jones,SAC,SG,26,10,2.3,0.9,1.1,0,0.1,0.2,4.5,20.6,0,0.5,0.8,0.1
264,Spencer Jones,DEN,SF,23,20,1.3,0.9,0.3,0.3,0.3,-0.1,6.3,4.5,0,0.324,1,0.3
265,Tre Jones,2TM,PG,25,46,7.2,2.5,4.2,0.8,0.2,2.9,19.7,16.3,9,0.538,0.821,0.8
266,Tyus Jones,PHO,PG,28,81,10.2,2.4,5.3,0.9,0.1,4.4,26.8,14.5,58,0.448,0.895,1.1
267,DeAndre Jordan,DEN,C,36,56,3.7,5.1,0.9,0.3,0.5,1.8,12.3,15.4,5,0.65,0.422,0.7
268,Cory Joseph,ORL,PG,33,50,3.5,1.5,1.4,0.5,0.1,1.5,12.2,10.9,16,0.403,0.778,0.4
269,Nikola Jović,MIA,PF,21,46,10.7,3.9,2.8,0.8,0.3,2.5,25.1,13.8,10,0.456,0.828,1.3
270,Johnny Juzang,UTA,SG,23,64,8.9,2.9,1.1,0.6,0.1,1.6,19.8,11.8,18,0.429,0.849,0.6
271,Yuki Kawamura,MEM,PG,23,22,1.6,0.5,0.9,0.1,0,0.2,4.2,11,0,0.367,0.778,0.2
272,Kylor Kelley,2TM,C,27,11,3.1,3.5,0.5,0.1,0.3,0.3,11.5,12.1,2,0.636,0.6,0.4
273,Luke Kennard,MEM,SG,28,65,8.9,2.8,3.3,0.8,0.1,3.9,22.6,13.6,11,0.478,0.895,1.1
274,Walker Kessler,UTA,C,23,58,11.1,12.2,1.7,0.6,2.4,5.4,30,20,58,0.663,0.52,1.5
275,Braxton Key,GSW,SF,27,3,1,0.7,0,0.7,0,-0.1,3.7,1.1,0,0,0.5,0.3
276,Corey Kispert,WAS,SF,25,61,11.6,3,1.7,0.4,0.2,1.1,26.3,11,0,0.451,0.852,1
277,Maxi Kleber,DAL,PF,33,34,3,2.8,1.3,0.3,0.5,0.3,18.7,5.6,4,0.385,0.762,0.7
278,Bobi Klintman,DET,SF,21,8,1.9,0.9,0.9,0.3,0.1,0.2,5.3,15.9,0,0.6,0.5,0.1
279,Dalton Knecht,LAL,SF,23,78,9.1,2.8,0.8,0.3,0.1,2.7,19.2,12.7,16,0.461,0.762,0.5
280,Kevin Knox,GSW,SF,25,14,3.3,1.2,0.4,0.1,0.3,0.2,6,17.1,0,0.5,0.75,0.3
281,Tyler Kolek,NYK,PG,23,41,2,0.7,1.7,0.3,0.1,0.4,7.2,10.3,0,0.329,0.765,0.4
282,Christian Koloko,LAL,C,24,37,2.4,2.5,0.4,0.2,0.4,0.9,9.2,13,0,0.606,0.714,0.3
